Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SD3_CLK","Input","SPI_I2C_SD_MMC","9","ALL_DESIGN","R50.2","830","520","C3","4"
"SD3_CD","Input","CONNECTORS","4","ALL_DESIGN","J1.34","490","390","D3","9"
"SD3_CD","Output","SPI_I2C_SD_MMC","9","ALL_DESIGN","R170.1,U1K.A18","830","530","C3","4"
"CSPI2_MOSI","Input","CONNECTORS","4","ALL_DESIGN","J1.23","250","340","E3","9"
"CSPI2_MOSI","Input","SPI_I2C_SD_MMC","9","ALL_DESIGN","U1L.T21","870","890","C2","4"
"I2C3_SCL","Passive","CONNECTORS","4","ALL_DESIGN","J2.20","1220","320","A3","7,9"
"I2C3_SCL","Passive","HDMI_LVDS","7","ALL_DESIGN","R31.1,U1F.F21","1740","890","A2","4,9"
"I2C3_SCL","Passive","SPI_I2C_SD_MMC","9","ALL_DESIGN","R157.2","1200","960","B2","4,7"
"LVDS0_TX1_P","Input","CONNECTORS","4","ALL_DESIGN","J2.9","980","270","B3","7"
"LVDS0_TX1_P","Input","HDMI_LVDS","7","ALL_DESIGN","U1F.U3","1470","750","B2","4"
"I2C2_SCL","Output","CONNECTORS","4","ALL_DESIGN","J1.36","490","400","D3","7"
"I2C2_SCL","Input","HDMI_LVDS","7","ALL_DESIGN","R28.1,U1G.U5","1780","470","A3","4"
"AUD3_TXD","Input","CONNECTORS","4","ALL_DESIGN","J2.17","980","310","B3","10"
"AUD3_TXD","Input","UART_AUDIO","10","ALL_DESIGN","U1N.P2","1030","740","B1","4"
